Card Name,,,Code,Quantity (FE),Quantity (U),Price (FE),Price (U)
Magic Formula,,,LCYW-EN082,1,0,,
Magic Hole Golem,,,ABPF-EN008,1,0,,
Magic Planter,,,SDSB-EN031,3,0,,
Magical Dimension,,,LCYW-EN075,1,0,,
Magical Hats,,,LCYW-EN096,1,0,,
Magician of Faith,,,SDCL-EN019,1,0,,
Magicians Unite,,,LCYW-EN077,1,0,,
Magicians Unite,,,YSYR-EN035,1,0,,
"Maiku, The Magical Mist",,,LCYW-EN087,2,0,,
Makyura the Destructor,,,BP01-EN180,1,0,,
Malevolent Nuzzler,,,BP02-EN132,1,0,,
Mamemaki,,,MP19-EN052,2,0,,
Man-Eater Bug,,,LCYW-EN119,1,0,,
Mara of the Nordic Alfar,,,LC5D-EN188,1,0,,
Marincess Cascade,,,CHIM-EN068,0,1,,
Marincess Crown Tail,,,CHIM-EN003,1,0,,
Marincess Sea Star,,,RIRA-EN004,1,0,,
Marincess Wonder Heart,,,CHIM-EN041,0,1,,
Maryokutai,,,DB2-EN011,0,1,,
Mask of Darkness,,,BP01-EN172,1,0,,
Mataza the Zapper,,,BP02-EN025,1,0,,
Matching Outfits,,,IGAS-EN099,1,0,,
Mayhem Fur Hire,,,MP19-EN255,2,0,,
Megalith Bethor,,,IGAS-EN039,2,0,,
Megalith Emergence,,,IGAS-EN072,2,0,,
Megalith Hagith,,,IGAS-EN036,3,0,,
Megalith Och,,,IGAS-EN037,3,0,,
Megalith Phaleg,,,IGAS-EN038,2,0,,
Megalith Portal,,,IGAS-EN057,3,0,,
Mermail Abysshilde,,,ABYR-EN016,0,1,,
Mermail Abyssnerei,,,CIBR-EN028,1,0,,
Metaphys Ascension,,,CYHO-EN076,0,2,,
Metaphys Decoy Dragon,,,CYHO-EN018,0,2,,
Mind Control,,,SDCL-EN028,1,0,,
Mine Mole,,,DREV-EN014,1,0,,
Mini-Guts,,,GAOV-EN052,1,0,,
Miniborrel Dragon,,,MP19-EN103,2,0,,
Miniborrel Dragon,,,CYHO-EN040,0,4,,
Miracle's Wake,,,SDCL-EN033,1,0,,
Mirage Dragon,,,YSD-EN018,0,1,,
Mirage Dragon,,,BP02-EN031,1,0,,
Mist Valley Watcher,,,GLD3-EN001,0,1,,
Molten Destruction,,,DLG1-EN080,0,1,,
Molting Escape,,,SOVR-EN049,1,0,,
Monster Reborn Reborn,,,MP19-EN044,1,0,,
Monster Reincarnation,,,SDSB-EN027,3,0,,
Monster Slots,,,SP13-EN035,1,0,,
Moon Mirror Shield,,,SDCL-EN030,1,0,,
Moonlit Papillon,,,GAOV-EN014,1,0,,
Moray of Greed,,,OP11-EN019,0,1,,
Mountain,,,LOB-048,0,1,,
Mutually Affured Destruction,,,IGAS-EN078,1,0,,
Mystic Box,,,LCYW-EN076,1,0,,
Mystic Swordsman LV4,,,LCYW-EN201,1,0,,
Mystic Tomato,,,DLG1-EN077,0,1,,
Mystical Elf,,,YSYR-EN007,1,0,,
Mystical Space Typhoon,,,SD10-EN024,1,0,,
Mystical Space Typhoon,,,SDCR-EN026,0,1,,
Mystical Space Typhoon,,,YS15-ENF16,2,0,,
Mystrick Hulder,,,MP19-EN173,1,0,,
Mythical Institution,,,MP19-EN120,1,0,,
Mythical Institution,,,CYHO-EN062,0,2,,
Naturia Marron,,,PHSW-EN029,0,1,,
Necro Fusion,,,MP19-EN210,2,0,,
Necroface,,,DPRP-EN039,1,0,,
Needle Sunfish,,,SP13-EN011,1,0,,
Neo Space,,,DP03-EN024,1,0,,
Night Beam,,,SDPL-EN022,2,0,,
Nine-Lives Cat,,,IGAS-EN083,1,0,,
Ninjutsu Art of Transformation,,,AST-052,0,1,,
Noble Arms - Clarent,,,CYHO-EN091,0,1,,
Nordic Relic Drapnir,,,STOR-EN045,0,1,,
Number 10: Illumiknight,,,SP13-EN026,0,1,,
Number 34: Terror-Byte,,,SP13-EN025,0,1,,
Number 40: Gimmick Puppet of Strings,,,LED5-EN043,1,0,,
Obsessive Uvualoop,,,IGAS-EN028,3,0,,
Oilman,,,ABPF-EN036,1,0,,
Ojama Green,,,DP2-EN002,0,1,,
Ojamagic,,,EEN-EN040,0,3,,
Old Mind,,,CHIM-EN066,1,0,,
One Day of Peace,,,PHSW-EN060,0,1,,
Oracle of the Sun,,,LED5-EN029,1,0,,
Ostinato,,,MP19-EN232,1,0,,
Out of the Blue,,,EXVC-EN061,0,2,,
Overlay Eater,,,GAOV-EN007,0,1,,
Overload Fusion,,,LEDD-ENB16,2,0,,
Parasitic Ticky,,,SOI-EN018,0,1,,
Pendulum Dimension,,,LED6-EN049,1,0,,
Performage Damage Juggler,,,CORE-EN015,2,0,,
Performage Trick Clown,,,CORE-EN018,2,0,,
Performapal Gold Fang,,,MP19-EN147,1,0,,
Performapal Handsamuraiger,,,CYHO-EN093,0,2,,
Performapal Handsamuraiger,,,MP19-EN145,1,0,,
Performapal Lebellman,,,CYHO-EN094,0,1,,
Performapal Stamp Turtle,,,SECE-EN005,1,1,,
Phantom Magician,,,GENF-EN092,1,0,,
Phantom of Chaos,,,BP01-EN196,1,0,,
Photon Generator Unit,,,SOI-EN045,0,1,,
Photon Lead,,,PHSW-EN051,1,2,,
Poly-Chemicritter Hydragon,,,INOV-EN027,1,0,,
Pot of Generosity,,,CRV-EN043,1,0,,
Power Bond,,,LEDD-ENB15,2,0,,
Power Bond,,,SDCR-EN022,1,1,,
Power Supplier,,,ABPF-EN007,1,0,,
Powerful Rebirth,,,SDCL-EN034,1,0,,
Predaplant Chlamydosundew,,,LED5-EN051,1,0,,
Predaplant Dragostapelia,,,LED5-EN053,1,0,,
Predaplant Dragostapelia,,,MP19-EN228,2,0,,
Predaplant Drosophyllum Hydra,,,LED5-EN050,2,0,,
Predaplant Moray Nepenthes,,,INOV-EN007,1,0,,
Predaplant Ophrys Scorpio,,,OP06-EN016,0,1,,
Predaplast,,,LED5-EN055,1,0,,
Predaponics,,,LED5-EN054,1,0,,
Prediction Princess Tarotrei,,,OP02-EN021,0,1,,
Premature Return,,,SDCL-EN035,1,0,,
Primal Seed,,,DR2-EN042,0,1,,
"Prometeor, the Burning Star",,,CHIM-EN025,2,0,,
Psychic Ace,,,MP19-EN092,2,0,,
Psychic Snail,,,TDGS-EN021,0,1,,
Pyramid of Light,,,MOV-EN004,0,2,,
Quaking Mirror Force,,,LEDD-ENB23,1,0,,
Quantum Cat,,,SDCL-EN037,1,0,,
Quillbolt Hedgehog,,,5DS2-EN013,1,0,,
Quillbolt Hedgehog,,,DP08-EN005,2,0,,
Rabidragon,,,SDBE-EN002,1,0,,
Rabidragon,,,PHSW-EN002,1,2,,
Raidraptor - Rise Falcon,,,SECE-EN050,1,0,,
Rainbow Refraction,,,MP19-EN069,2,0,,
Rare Metal Dragon,,,EP1-EN004,0,1,,
Rare Metalmorph,,,SDMM-EN034,1,0,,
Rare Metalmorph,,,BP03-EN200,1,0,,
Reboot,,,EXVC-EN052,1,1,,
Recoded Alive,,,SDCL-EN032,1,0,,
"Recon, Scout Fur Hire",,,MP19-EN245,1,0,,
Red Gadget,,,DPRP-EN022,1,0,,
Red Hared Hasty Horse,,,MP19-EN017,1,0,,
Red Resonator,,,SDSB-EN020,3,0,,
Red Sparrow Summoner,,,YS14-EN018,1,0,,
Red Wyvern,,,DPDG-EN032,2,0,,
Red-Eyes B. Dragon,,,LDK2-ENJ01,1,0,,
Reinforcement of the Army,,,YS13-EN029,1,0,,
Release Restraint,,,SD5-EN032,1,0,,
Release Restraint Wave,,,DP09-EN019,1,0,,
Relinquished,,,MIL1-EN008,2,0,,
Reload,,,SD3-EN023,1,0,,
Reload,,,SD1-EN019,0,1,,
Rescue Interlacer,,,RIRA-EN001,1,0,,
Restoration of the Monarchs,,,MP19-EN040,2,0,,
Restoration Point Guard,,,MP19-EN100,1,0,,
Restoration Point Guard,,,CYHO-EN037,0,4,,
Resurgam XYZ,,,IGAS-EN074,2,0,,
Riryoku,,,BP02-EN142,1,0,,
Rise of the Salamangreat,,,MP19-EN195,1,0,,
Rise of the Salamangreat,,,SOFU-EN052,3,0,,
Ritual Weapon,,,SOD-EN048,0,1,,
Roll Out!,,,SDMM-EN037,1,0,,
ROM Cloudia,,,SDCL-EN006,1,0,,
"Ruin, Angel of Oblivion",,,CHYO-EN027,0,2,,
Rush Recklessly,,,BP02-EN133,2,0,,
"Ryko, Lightsworn Hunter",,,BP01-EN063,0,1,,
Sakuretsu Armor,,,DCR-102,0,1,,
Salamangreat Beat Bison,,,SDSB-EN006,3,0,,
Salamangreat Burning Shell,,,CHIM-EN051,3,0,,
Salamangreat Claw,,,SDSB-EN024,3,0,,
Salamangreat Emerald Eagle,,,MP19-EN179,5,0,,
Salamangreat Falco,,,MP19-EN155,1,0,,
Salamangreat Falco,,,SDSB-EN009,1,0,,
Salamangreat Fennec,,,DANE-EN003,3,0,,
Salamangreat Fowl,,,OP12-EN018,0,1,,
Salamangreat Fowl,,,SDSB-EN005,1,0,,
Salamangreat Foxer,,,SDSB-EN013,2,0,,
Salamangreat Gift,,,SDSB-EN034,3,0,,
Salamangreat Gift,,,MP19-EN204,4,0,,
Salamangreat Heatleo,,,SDSB-EN041,3,0,,
Salamangreat Jack Jaguar,,,SDSB-EN010,1,0,,
Salamangreat Meer,,,SDSB-EN007,3,0,,
Salamangreat Meer,,,MP19-EN153,6,0,,
Salamangreat Mole,,,SDSB-EN002,2,0,,
Salamangreat Parro,,,SAST-EN004,3,0,,
Salamangreat Parro,,,SDSB-EN012,3,0,,
Salamangreat Raccoon,,,SDSB-EN001,3,0,,
Salamangreat Rage,,,SDSB-EN032,1,0,,
Salamangreat Sanctuary,,,MP19-EN194,1,0,,
Salamangreat Sanctuary,,,SDSB-EN025,1,0,,
Salamangreat Wolvie,,,SDSB-EN011,3,0,,
Salamangreat Wolvie,,,SAST-EN003,3,0,,
Samsara Lotus,,,PTDN-EN004,1,0,,
Sangan,,,YS12-EN016,1,0,,
Scapegoat,,,BP02-EN136,1,0,,
Scapegoat,,,SDMP-EN032,1,0,,
Scrap Searcher,,,STBL-EN025,1,0,,
Scrap Shark,,,STOR-EN030,0,1,,
"Seal, Strategist Fur Hire",,,MP19-EN248,1,0,,
Searchlightman,,,EOJ-EN010,0,1,,
Secret Sect Druid Dru,,,SHSP-EN009,0,1,,
Senju of the Thousand Hands,,,AP07-EN016,0,2,,
Serene Psychic Witch,,,HSRD-EN049,1,0,,
Serene Psychic Witch,,,EXVC-EN026,1,0,,
Shield & Sword,,,BP02-EN130,1,0,,
Shield Handler,,,MP19-EN125,3,0,,
Shield Wing,,,DP10-EN002,1,0,,
Shien's Scheme,,,STOR-EN075,0,1,,
Shien's Spy,,,CRV-EN044,1,0,,
Shooting Star Bow - Ceal,,,LCYW-EN137,2,0,,
Short Circuit,,,LODT-EN056,0,1,,
Shrink,,,BP02-EN146,1,0,,
Shuffle Reborn,,,SDCL-EN025,1,0,,
Silent Psychic Wizard,,,HSRD-EN048,1,0,,
Silent Strider,,,TDGS-EN036,0,1,,
Silent Swordsman LV3,,,YSYR-EN017,3,0,,
"Sillva, Warlord of Dark World",,,SDGU-EN012,1,0,,
SIMM Tablir,,,MP19-EN072,3,0,,
Simorgh Sky Battle,,,RIRA-EN073,1,0,,
Skilled Dark Magician,,,YSYR-EN013,1,0,,
Skull Kraken,,,SP13-EN007,1,0,,
Skull Kraken,,,GENF-EN006,0,1,,
Sky Striker Airspace - Area Zero,,,MP19-EN269,1,0,,
Sky Striker Mecha - Eagle Booster,,,MP19-EN265,1,0,,
Sky Striker Mecha - Hornet Drones,,,MP19-EN263,2,0,,
Sky Striker Mecha Modules - Multirole,,,MP19-EN268,1,0,,
Sky Striker Mecharmory - Hercules Base,,,MP19-EN267,1,0,,
Smile Action,,,LED6-EN048,1,0,,
Solitary Sword of Poison,,,CYHO-EN065,0,1,,
Solitary Sword of Poison,,,MP19-EN123,1,0,,
Sonic Bird,,,GLD1-EN002,0,1,,
Soul Charge,,,SDCL-EN024,1,0,,
Soul Exchange,,,SDBE-EN030,0,1,,
Soul of the Pure,,,DB2-EN086,0,1,,
Soul Taker,,,LCYW-EN081,1,0,,
Soul Taker,,,YSYR-EN036,1,0,,
Sparks,,,LOB-055,0,1,,
Speedroid Double Yoyo,,,HSRD-EN003,1,0,,
Spellbook of Miracles,,,LTGY-EN088,0,1,,
Spined Gillman,,,RGBT-EN034,0,1,,
Spiral Flame Strike,,,LED6-EN055,1,0,,
Spiral Spear Strike,,,MIL1-EN043,2,0,,
Spirit of the Harp,,,YS12-EN02,1,0,,
Spirit of the Six Samurai,,,GLAS-EN033,1,0,,
Spiritualism,,,LCYW-EN127,1,0,,
Squeaknight,,,IGAS-EN031,2,0,,
Stack Reviver,,,SDCL-EN011,1,0,,
"Star Light, Star Bright",,,SP14-EN034,1,0,,
Star Seraph Sword,,,JOTL-EN011,0,1,,
Steamroid,,,BP02-EN037,1,0,,
Stoic of Prophecy,,,ABYR-EN021,2,0,,
Storming Mirror Force,,,LEDD-ENB22,1,0,,
Summon Breaker,,,LTGY-EN068,0,1,,
Summoner Monk,,,SDCL-EN014,1,0,,
Sun Dragon Inti,,,LED5-EN032,1,0,,
Super Polymerization,,,SDCR-EN021,0,1,,
Super Team Buddy Force Unite!,,,MP19-EN054,3,0,,
Suppression Collider,,,CHIM-EN001,1,1,,
Swallowtail Butterspy,,,GAOV-EN013,0,1,,
Swamp Mirrorer,,,SDCL-EN036,1,0,,
Swarm of Scarabs,,,AP03-EN016,0,1,,
Swift Birdman Joe,,,EOJ-EN012,0,1,,
Swing of Memories,,,SDWS-EN030,1,0,,
Swing of Memories,,,DP06-EN017,1,0,,
Sword of Kusanagi,,,TDGS-EN054,0,2,,
Swords of Burning Light,,,YS13-EN021,1,0,,
Swords of Revealing Light,,,YSYR-EN026,1,1,,
Swords of Revealing Light,,,YS11-EN026,1,0,,
TA.I. Strike,,,IGAS-EN051,1,0,,
Terrifying Toddler of Torment,,,CYHO-EN022,0,6,,
Terrifying Toddler of Torment,,,MP19-EN091,2,0,,
TGX1-HL,,,EXVC-EN053,1,0,,
The A. Forces,,,YS13-EN028,1,0,,
The Creator Incarnate,,,LCYW-EN258,1,0,,
The Dark - Hex Sealed Fusion,,,LCYW-EN263,1,0,,
The Deep Grave,,,MP19-EN133,2,0,,
The Law of the Normal,,,AST-094,0,1,,
The Revenge of the Normal,,,MP19-EN214,2,0,,
The Six Samurai - Kamon,,,STON-EN008,0,1,,
The Six Samurai - Nisashi,,,STON-EN010,1,0,,
The Six Samurai - Zanji,,,STON-EN011,0,2,,
The Transmigration Prophecy,,,SDSB-EN035,3,0,,
The World Legacy,,,CHIM-EN061,1,1,,
Threatening Roar,,,SDSB-EN036,3,0,,
Thunder Dragon Discharge,,,MP19-EN208,1,0,,
Thunder Dragon's Hundred Thunders,,,MP19-EN207,1,0,,
Thunder Dragonmatrix,,,MP19-EN166,1,0,,
Thunder King Rai-Oh,,,RYMP-EN074,0,1,,
Thunder Short,,,GENF-EN047,0,1,,
Time Thief Chronocorder,,,IGAS-EN018,2,0,,
Time Thief Retrograde,,,IGAS-EN075,2,0,,
Time Thief Startup,,,IGAS-EN061,3,0,,
Timegazer Magician,,,LED6-EN050,1,0,,
Toll Hike,,,MP19-EN212,2,0,,
Toon Gemini Elf,,,BP01-EN128,1,0,,
Torrential Tribute,,,LDK2-ENJ38,1,0,,
Tragoedia,,,SDCL-EN013,1,0,,
Trakodon,,,MDP2-EN017,0,1,,
Trancefamiliar,,,MP19-EN014,1,0,,
Transcendent Wings,,,DP1-EN018,0,1,,
Transmodify,,,SDSB-EN029,3,0,,
Trap Stun,,,SDPL-EN035,1,0,,
Tremendous Fire,,,DB2-EN053,0,1,,
Trickstar Bouquet,,,MP19-EN035,1,0,,
Trickstar Delfiendum,,,MP19-EN023,1,0,,
Trickstar Light Arena,,,MP19-EN034,3,0,,
Trickstar Mandrake,,,MP19-EN005,2,0,,
Trickstar Nightshade,,,MP19-EN004,1,0,,
Tricky Spell 4,,,TDGS-EN091,1,0,,
"True King Agnimazud, the Vanisher",,,SDSB-EN014,2,0,,
True King's Return,,,OP11-EN025,0,1,,
Turbo Synchron,,,DP08-EN009,1,0,,
Turning of the World,,,CYHO-EN058,0,2,,
Twin-Headed Behemoth,,,BP02-EN017,1,0,,
Twin-Sword Marauder,,,BP01-EN207,1,0,,
Tyranno Infinity,,,SD09-EN009,1,0,,
Umbral Horror Unform,,,JOTL-EN013,0,1,,
Unifrog,,,LODT-EN029,0,1,,
Union Attack,,,LCYW-EN083,2,0,,
Union Hangar,,,SDKS-EN020,1,0,,
Universal Adapter,,,MP19-EN134,3,0,,
Universal Adapter,,,CYHO-EN079,1,1,,
V-Tiger Jet,,,DP2-EN001,2,1,,
Valkyrie of the Nordic Ascendant,,,SP14-EN047,1,0,,
Vampire Awakening,,,MP19-EN242,1,0,,
Vampire Familiar,,,MP19-EN233,2,0,,
Vampire Grimson,,,MP19-EN236,1,0,,
Vampire Retainer,,,MP19-EN234,1,0,,
Vampire Scarlet Scourge,,,MP19-EN237,4,0,,
Vampire's Desire,,,MP19-EN240,2,0,,
Vampire's Domain,,,MP19-EN241,2,0,,
Variety Comes Out,,,DP10-EN020,1,0,,
Vendread Anima,,,MP19-EN056,2,0,,
Vendread Daybreak,,,MP19-EN059,3,0,,
Vendread Nightmare,,,MP19-EN058,2,0,,
Vengeful Bog Spirit,,,LON-103,0,1,,
Vice Dragon,,,HSRD-EN021,1,0,,
Volcanic Blaster,,,FOTB-EN011,1,0,,
Volcanic Shell,,,SDSB-EN021,6,0,,
Vylon Tetra,,,BP02-EN106,1,0,,
W-Wing Catapault,,,EEN-EN011,0,1,,
W-Wing Catapault,,,DP2-EN008,2,1,,
Waking the Dragon,,,MP19-EN053,1,0,,
Warrior Lady of the Wasteland,,,SD5-EN002,1,0,,
Watch Cat,,,MP19-EN013,1,0,,
Water Leviathan @Ignister,,,IGAS-EN034,1,0,,
Wattaildragon,,,YSKR-EN012,1,1,,
Wattrain,,,CHIM-EN060,1,0,,
Where Arf Thou?,,,SDCL-EN031,1,0,,
White Potan,,,ANPR-EN033,1,0,,
White Stingray,,,MP19-EN148,1,0,,
Wicked-Breaking Flamberge - Baou,,,LCYW-EN139,1,0,,
Will of the Salamangreat,,,MP19-EN196,2,0,,
Winged Rhynos,,,BP02-EN051,1,0,,
"Wiz, Sage Fur Hire",,,MP19-EN252,1,0,,
Wonder Wand,,,BP03-EN173,1,0,,
Wonder Wand,,,YS13-EN023,1,0,,
World Dino Wrestling,,,MP19-EN197,2,0,,
"World Legacy - ""World Key""",,,CHIM-EN021,0,1,,
World Legacy Awakens,,,MP19-EN048,1,0,,
World Legacy's Corruption,,,MP19-EN037,2,0,,
World Legacy's Memory,,,CYHO-EN061,0,1,,
World Legacy's Mind Meld,,,CYHO-EN075,0,2,,
World Reassembly,,,CHIM-EN075,1,0,,
Worm Barses,,,BP01-EN201,1,0,,
X-Head Cannon,,,DP2-EN005,1,1,,
XX-Saber Ragigura,,,ANPR-EN036,0,1,,
XYZ Burst,,,ORCS-EN061,1,0,,
XYZ Unit,,,YS13-EN027,1,0,,
XZ-Tank Cannon,,,SDKS-EN044,1,0,,
Y-Dragon Head,,,DP2-EN006,2,1,,
Yami,,,SDP-037,0,1,,
Yellow Duston,,,JOTL-EN040,1,0,,
Yomi Ship,,,PGD-071,0,1,,
Yosenju Magat,,,SECE-EN026,0,1,,
Z-Metal Tank,,,DP2-EN007,1,1,,
Zero Extra Link,,,CYHO-EN052,0,2,,
Zero Extra Link,,,MP19-EN114,1,0,,
Zombyra the Dark,,,BP02-EN014,1,0,,
Zubaba Knight,,,YS12-EN004,1,0,,
ZW - Unicorn Spear,,,SP14-EN004,1,0,,